network,pool_address,date,open,high,low,close,volume
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-28,2.32825899821874e-05,2.44158392700243e-05,2.20724602454995e-05,2.39352324779522e-05,207.869602498447
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-27,2.10163563898837e-05,2.45097388014792e-05,2.10163563898837e-05,2.32825899821874e-05,264.982694451736
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-26,1.84478458699266e-05,2.10163563898837e-05,1.82062066539662e-05,2.10163563898837e-05,173.342567076789
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-25,1.85233655493401e-05,1.9367028564426e-05,1.84478458699266e-05,1.84478458699266e-05,109.541422949116
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-24,1.75432787600478e-05,1.85717541250144e-05,1.72393611732107e-05,1.85233655493401e-05,71.6823185707708
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-23,1.71684667162483e-05,1.77650900929688e-05,1.71684667162483e-05,1.75432787600478e-05,45.4158260010252
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-22,1.81846443308374e-05,1.84267119315241e-05,1.67374658241129e-05,1.71684667162483e-05,30.6819885040234
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-21,1.83320868949069e-05,1.8462409661561e-05,1.77446704811464e-05,1.81846443308374e-05,55.4130838904987
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-20,1.77205222966963e-05,1.85320937687042e-05,1.74822336312485e-05,1.83320868949069e-05,81.0468276472836
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-19,1.66442160216452e-05,1.83343916143341e-05,1.66442160216452e-05,1.77205222966963e-05,113.948483329458
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-18,1.66818063088169e-05,1.66879071417549e-05,1.57670670338291e-05,1.66442160216452e-05,38.8731988620028
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-17,1.61676078797894e-05,1.68715116898987e-05,1.5992893890112e-05,1.66818063088169e-05,33.1734365976841
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-16,1.63276635119606e-05,1.66240045984866e-05,1.61340715260661e-05,1.61676078797894e-05,24.7668379498421
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-15,1.72050789885804e-05,1.74438281105874e-05,1.63276635119606e-05,1.63276635119606e-05,23.3127712879981
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-14,1.77546986875636e-05,1.77546986875636e-05,1.70481794477942e-05,1.72050789885804e-05,62.0205554985274
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-13,1.71264997235764e-05,1.77546986875636e-05,1.67683257738971e-05,1.77546986875636e-05,46.1185307457303
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-12,1.66275174780993e-05,1.72239050952019e-05,1.66147088505406e-05,1.71264997235764e-05,55.0706199837334
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-11,1.72128340627758e-05,1.72128340627758e-05,1.60962757272806e-05,1.66275174780993e-05,51.7010124815108
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-10,1.72534070900947e-05,1.76041239701729e-05,1.7132226033329e-05,1.72128340627758e-05,69.2154812637438
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-09,1.6324998083355e-05,1.76391760684377e-05,1.61811422399757e-05,1.72534070900947e-05,81.5840268736304
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-08,1.57239305332922e-05,1.6707763859997e-05,1.57239305332922e-05,1.6324998083355e-05,63.6717611168585
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-07,1.57030432267422e-05,1.62345810568791e-05,1.57030432267422e-05,1.57239305332922e-05,45.6360074518608
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-06,1.58231051262446e-05,1.65833278569289e-05,1.50834760411754e-05,1.57030432267422e-05,76.4412552158797
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-05,1.69275489407569e-05,1.70601784730576e-05,1.58231051262446e-05,1.58231051262446e-05,64.2875297026028
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-04,1.69988612288885e-05,1.73509061624627e-05,1.57256505524237e-05,1.69275489407569e-05,66.4506799563841
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-03,1.76031826006258e-05,1.80697834955606e-05,1.67527479440013e-05,1.69988612288885e-05,37.7803275176262
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-02,1.6462669919649e-05,1.76163905413396e-05,1.6462669919649e-05,1.76031826006258e-05,44.636866495799
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-01,1.73867680810434e-05,1.73867680810434e-05,1.63226940069099e-05,1.6462669919649e-05,29.9157668730179
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-31,1.77087408255886e-05,1.79509674824224e-05,1.71650015312349e-05,1.73867680810434e-05,25.7125283672043
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-30,1.80685704898224e-05,1.81094954213022e-05,1.68724688588634e-05,1.77087408255886e-05,56.1300869926978
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-29,1.79081473259088e-05,1.89406388664297e-05,1.78679435135321e-05,1.80685704898224e-05,60.0537636076201
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-28,1.82684184135773e-05,1.88619585902089e-05,1.76125809414494e-05,1.79081473259088e-05,101.627187957783
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-27,1.9730781755612e-05,2.02709000245009e-05,1.82684184135773e-05,1.82684184135773e-05,94.5672694594615
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-26,2.10150893272119e-05,2.12939497473478e-05,1.96217081475052e-05,1.9730781755612e-05,113.495375646232
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-25,2.18711433921738e-05,2.18711433921738e-05,2.02534732969019e-05,2.10150893272119e-05,84.2377209150939
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-24,2.07458216754988e-05,2.32677078961379e-05,2.04925342831794e-05,2.18711433921738e-05,198.781114853072
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-23,1.90083174875684e-05,2.10090031857491e-05,1.87609052266332e-05,2.07458216754988e-05,116.739616706622
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-22,1.85041451597608e-05,1.92200589470694e-05,1.82610707395526e-05,1.90083174875684e-05,50.5430814709855
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-21,1.8159198778196e-05,1.88350459334556e-05,1.79222519495473e-05,1.85041451597608e-05,71.8035401421794
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-20,1.78712041038969e-05,1.90992622339104e-05,1.77677041089859e-05,1.8159198778196e-05,103.174553387213
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-19,1.81591961327774e-05,1.81591961327774e-05,1.70867447072226e-05,1.78712041038969e-05,111.986030350457
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-18,1.79091516805873e-05,1.83353478064239e-05,1.77931617925009e-05,1.81591961327774e-05,59.8190824896799
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-17,1.75562713038662e-05,1.79954252842e-05,1.74225316012041e-05,1.79091516805873e-05,31.3860679740968
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-16,1.87918761888679e-05,1.87918761888679e-05,1.72241114522647e-05,1.75562713038662e-05,69.9664598955019
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-15,1.93490896728094e-05,1.96088081138506e-05,1.81035243888436e-05,1.87918761888679e-05,77.0709311092723
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-14,1.98812638550977e-05,2.02744128946072e-05,1.90165121754117e-05,1.93490896728094e-05,76.0973588741942
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-13,1.99509297614935e-05,2.01293303999114e-05,1.93522009923696e-05,1.98812638550977e-05,79.5112213155521
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-12,1.88550647671341e-05,2.038681950346e-05,1.88550647671341e-05,1.99509297614935e-05,99.379763614691
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-11,2.05479475905189e-05,2.11273561065743e-05,1.88550647671341e-05,1.88550647671341e-05,67.0845914317903
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-10,2.07176313122884e-05,2.10277513605579e-05,2.02833563133497e-05,2.05479475905189e-05,68.2059714533919
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-09,2.17622183557368e-05,2.17622183557368e-05,2.01765324659673e-05,2.07176313122884e-05,95.999546054288
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-08,1.90254807038434e-05,2.17838037794115e-05,1.85533627483626e-05,2.17622183557368e-05,276.021797390396
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-07,1.98127251752135e-05,2.16636847764095e-05,1.90254807038434e-05,1.90254807038434e-05,235.628692951817
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-06,1.79318509241391e-05,2.08959557099652e-05,1.79289289499676e-05,1.98127251752135e-05,200.87639822823
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-05,1.98597475557424e-05,2.01313205447488e-05,1.56243644156031e-05,1.79318509241391e-05,398.253005058481
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-04,2.09273610152041e-05,2.14607565915234e-05,1.87394767813303e-05,1.98597475557424e-05,162.257332103963
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-03,2.2377098777607e-05,2.26392632447327e-05,2.02424521061587e-05,2.09273610152041e-05,142.869321801309
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-02,2.5117025356616e-05,2.5296143438301e-05,2.21835933390345e-05,2.2377098777607e-05,205.37845618049
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-08-01,2.45568680607351e-05,2.5117025356616e-05,2.24628426502163e-05,2.5117025356616e-05,350.940303942088
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-31,2.5913985267699e-05,2.67572177044091e-05,2.44908470105915e-05,2.45568680607351e-05,147.689614087457
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-30,2.68493943077593e-05,2.79665483377022e-05,2.57448193221067e-05,2.5913985267699e-05,169.210754599806
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-29,2.76330162149059e-05,2.93358701812225e-05,2.68493943077593e-05,2.68493943077593e-05,389.833632280574
